handle_index,x_m,y_m,speed_mps
0,1.209931024477895,1.9427840283352216,1.0
1,-1.6437917021171184,1.7533992356100792,0.9915508495204026
2,-2.444283206303774,0.3105848498608259,0.9905162584777546
3,-2.153948315071849,-1.3136705644547102,0.9895834568623609
4,-0.921273715517145,-2.410490208522344,0.9887380443064047
5,0.7239831483611696,-2.535509614461192,0.9879682250411442
6,2.121046876640149,-1.6576070349415584,0.9872642427686854
7,2.7428346473856138,-0.12924844869571506,0.986617956896947
8,2.3757874212302923,1.4794082374159294,0.9860225204566421
9,1.1658824072923248,2.601294977353517,0.9854721322780474
10,-0.46301398697416024,2.8643473233716166,0.9849618441564713
11,-1.9717362243333216,2.196322465676946,0.9844874092548811
12,-2.885736645639723,0.8226037063045262,0.9840451617924496
13,-2.934830533067472,-0.8266657653759639,0.9836319207246024
14,-2.1171332483488006,-2.2597990985183154,0.9832449120037999
15,-0.6792769241920675,-3.0691625465949497,0.9828817053631974
16,0.970435318501863,-3.0383483241356926,0.9825401625487828
17,2.383811710681189,-2.186957007507357,0.9822183946484906
18,3.193142492067604,-0.7490822958928568,0.9819147267037238
19,3.1996113022194286,0.9009050236024166,0.9816276681914048
20,2.411588012474523,2.350566809957987,0.9813558882694348
21,1.0293460955563498,3.251625788668231,0.981098194911082
22,-0.6141395836854784,3.3981004353719775,0.9808535172327916
23,-2.137858312597641,2.765027583985759,0.9806208904586942
24,-3.201148371257938,1.50331674106089,0.980399443073419
25,-3.576035187095672,-0.10353106607923662,0.9801883857999985
26,-3.1896744521283744,-1.7076586739943718,0.9799870021070166
27,-2.131010126980131,-2.973253335273575,0.979794640002779
28,-0.6237922783663862,-3.6446655460801156,0.9796107049171994
29,1.0254107953221059,-3.593389608873182,0.9794346535066429
30,2.4916581506496387,-2.836673880878168,0.9792659882449118
31,3.495009926279786,-1.526794033586889,0.9791042526862715
32,3.850993346679572,0.08434711615774095,0.9789490273049859
33,3.4999867247655296,1.6965798386182682,0.9787999258310391
34,2.5120292196676823,3.0181092435581944,0.9786565920142926
35,1.0682904914573026,3.8169324309191213,0.978518696759684
36,-0.575624531055455,3.9585071417855398,0.9783859355847202
37,-2.1367715163020233,3.424353521133608,0.9782580263577022
38,-3.353615335999059,2.309996702845535,0.9781347072811335
39,-4.028255853170463,0.8042210978529752,0.9780157350898288
40,-4.055789194710638,-0.8455491634572542,0.977900883437496
41,-3.4371052022562236,-2.3751668011303497,0.9777899414491638
42,-2.274357291160713,-3.5458577489227343,0.977682712419885
43,-0.7510810243356846,-4.179994496736301,0.9775790126427442
44,0.8989095227424114,-4.1855797051373465,0.9774786703514046
45,2.428404311741885,-3.5665920716393105,0.9773815247643418
46,3.6136344960385474,-2.4186681149975398,0.9772874252195191
47,4.285739354080292,-0.9117590069897825,0.9771962303896722
48,4.352746854289329,0.7368798239600759,0.9771078075695679
49,3.8096205443558375,2.2949279013498582,0.9770220320276425
50,2.7357729898519567,3.5476654754993824,0.9769387864153349
51,1.2812011137829429,4.326588229916727,0.9768579602282047
52,-0.35616423019646337,4.530388942219808,0.9767794493136132
53,-1.9583398639481018,4.136011916250382,0.9767031554203346
54,-3.316437077492311,3.1989569773255067,0.9766289857859867
55,-4.257243401277448,1.843455792845788,0.9765568527586256
56,-4.664019409955578,0.24438316198631485,0.976486673449246
57,-4.4892514232380965,-1.3963350194265556,0.9764183694122786
58,-3.7582589456587527,-2.8755746882167226,0.9763518663514874
59,-2.563750314068618,-4.013840531092026,0.9762870938489403
60,-1.052503869603917,-4.676135166502005,0.9762239851149661
61,0.5937933490455728,-4.786613525771636,0.9761624767572248
62,2.1809707765778126,-4.335650319365419,0.9761025085672088
63,3.5252810699204495,-3.378921603786625,0.9760440233226552
64,4.47413739850178,-2.029043213815444,0.9759869666045053
65,4.922451299297759,-0.4411154300818375,0.9759312866271735
66,4.822979030555703,1.2058834368732378,0.9758769340810092
67,4.1898494883244455,2.7295786107035678,0.9758238619859428
68,3.0952444290524213,3.9642201636311283,0.9757720255554018
69,1.6599430312869916,4.778105842072276,0.9757213820696577
70,0.03905339914667858,5.086678038517082,0.9756718907578588
71,-1.59531997728,4.860130766571268,0.9756235126880545
72,-3.072510705082475,4.1250065908752935,0.9755762106645913
73,-4.240869485800475,2.959915281356138,0.9755299491323052
74,-4.982734406168021,1.486098318526057,0.9754846940869933
75,-5.225406343015206,-0.14595876719864873,0.975440412991691
76,-4.947223516394845,-1.7723395082831979,0.9753970746983168
77,-4.178366200426226,-3.2322567756919938,0.9753546493742884
78,-2.9965593662740666,-4.383704823477004,0.9753131084337456
79,-1.518325622932848,-5.116729379712284,0.9752724244730487
80,0.11316921966099393,-5.3631529552748916,0.9752325712102401
81,1.7423701516354868,-5.101993380959319,0.9751935234281918
82,3.216253307479734,-4.360259976748794,0.9751552569211791
83,4.398495378771763,-3.209258810428729,0.9751177484446387
84,5.181620268766791,-1.7569449990665889,0.9750809756678973
85,5.496103429175412,-0.13719182594970433,0.9750449171296605
86,5.315742926304883,1.5029210021834774,0.9750095521960835
87,4.65897638778134,3.016578068324415,0.9749748610212449
88,3.586198853758886,4.270232072625118,0.9749408245098655
89,2.1934847983188566,5.155018803867215,0.9749074242821271
90,0.6034098271574763,5.595656507756089,0.9748746426404513
91,-1.0461175380679713,5.556166365003157,0.9748424625381137
92,-2.6139790945257637,5.042055346074384,0.974810867549576
93,-3.9678606866928083,4.09891981265768,0.9747798418424282
94,-4.995153266019174,2.807730455335159,0.9747493701508361
95,-5.61187934422928,1.2773223579776132,0.9747194377504068
96,-5.768987106707916,-0.36518096042723225,0.9746900304343777
97,-5.4556008549503545,-1.9851467184638791,0.9746611344910556
98,-4.699082371644115,-3.451495853021491,0.9746327366824217
99,-3.562020650310958,-4.64715075385226,0.9746048242238421
100,-2.1365064759768315,-5.478059496599631,0.9745773847648093
101,-0.5362462139856824,-5.880137963933598,0.9745504063706583
102,1.1127870576297687,-5.823664349679846,0.9745238775052009
103,2.68238506402541,-5.314879426239466,0.9744977870142221
104,4.052021025616821,-4.3947721864478595,0.9744721241097909
105,5.11789841145883,-3.1352463239297137,0.9744468783553382
106,5.800477723658393,-1.6330527669742099,0.9744220396514603
107,6.049970370345016,-0.0020244351385716327,0.974397598222402
108,5.849462493648797,1.635747402262493,0.9743735446031886
109,5.215521482722704,3.159105139193344,0.9743498696273664
110,4.196328948083064,4.456697747578539,0.9743265644153176
111,2.867562182863656,5.43489961000234,0.974303620363123
112,1.3263994467875118,6.024236034238454,0.9742810291319358
113,-0.3158567875267634,6.183905883793797,0.9742587826378486
114,-1.9419666855394502,5.904144200237754,0.9742368730422164
115,-3.437144447167664,5.206330857621281,0.9742152927424218
116,-4.697059161317817,4.140913139977697,0.9741940343630526
117,-5.634901399272337,2.7833594811084033,0.9741730907474715
118,-6.187058299001589,1.2284888247249615,0.9741524549497594
119,-6.317053619874211,-0.4163823606728549,0.974132120227014
120,-6.017541010646716,-2.0389704775141833,0.9741120800319809
121,-5.310278657139489,-3.529701829338574,0.9740923280060052
122,-4.244151734938145,-4.789016478565754,0.9740728579722859
123,-2.891436564339029,-5.733824219448396,0.9740536639294167
124,-1.3426091859126452,-6.302712391093474,0.9740347400452015
125,0.2999149263535159,-6.459602609478675,0.9740160806507292
