time_s,handle_index,x_m,y_m,speed_mps
0,0,8.8,-3.448605386398947e-14,1.0
0,1,8.363823851393056,2.826543890934478,0.9999710382841093
0,2,7.706853796953741,4.340112636505708,0.9999656212538998
0,3,6.780179648834826,5.705314095341726,0.9999602443251041
0,4,5.616457183641123,6.875036294841871,0.9999549070538619
0,5,4.256359934675748,7.809185893865967,0.9999496090028405
0,6,2.7471045853274805,8.476005427520725,0.9999443497411165
0,7,1.1407705498106928,8.85308760204017,0.9999391288440582
0,8,-0.5075254202161602,8.928056897043437,0.9999339458932124
0,9,-2.1415350346573807,8.698900662317522,0.9999288004761904
0,10,-3.7057986510778687,8.173944151411115,0.9999236921865605
0,11,-5.147514646879389,7.371476091330238,0.9999186206237392
0,12,-6.418295773176976,6.319043039280805,0.9999135853928871
0,13,-7.475755302781265,5.052441545815315,0.9999085861048074
0,14,-8.284872599841723,3.614446692000526,0.9999036223758432
0,15,-8.819096077127442,2.0533236102684254,0.9998986938277797
0,16,-9.061151051160001,0.4211749070106002,0.99989380008775
0,17,-9.003530407543803,-1.227818683464931,0.9998889407881391
0,18,-8.648656883015283,-2.8392046650313136,0.9998841155664916
0,19,-8.0087167857634,-4.3600520182950175,0.9998793240654235
0,20,-7.105175747304052,-5.7406727452941935,0.99987456593253
0,21,-5.967997282138596,-6.936216612479292,0.9998698408203035
0,22,-4.634594209426287,-7.908089158485885,0.9998651483860457
0,23,-3.1485510863941792,-8.625149711360587,0.9998604882917863
0,24,-1.5581624849598112,-9.064654087251778,0.9998558602041999
0,25,0.0851629679207418,-9.21291553171711,0.9998512637945292
0,26,1.7285794919966566,-9.065667005767226,0.9998466987385036
0,27,3.3195071093059108,-8.628117789697887,0.9998421647162667
0,28,4.8073059565121685,-7.914707255537114,0.9998376614122978
0,29,6.14486918205778,-6.948568229481263,0.9998331885153415
0,30,7.290085210617523,-5.760721333652569,0.9998287457183342
0,31,8.207125187887877,-4.389029793951272,0.9998243327183342
0,32,8.867517730172398,-2.8769511947722455,0.9998199492164522
