export_index,mirror_id,position_key,x,y
1,225977427565346,"[""ring1"",""active"",0]",180.28482178547966,-153.42698551237063
2,98461791273696,"[""ring1"",""active"",1]",178.56892068052466,-140.3934226373791
3,146546269447317,"[""ring1"",""active"",2]",175.16647801425813,-127.69533373703226
4,91816430395141,"[""ring1"",""active"",3]",170.13571052403518,-115.54998663299037
5,231364419112210,"[""ring1"",""active"",4]",163.56269603640578,-104.16519158152998
6,186914820487113,"[""ring1"",""active"",5]",155.55990065163724,-93.735745582443087
7,218691133102543,"[""ring1"",""active"",6]",146.26425441755691,-84.440099348362779
8,249518401681586,"[""ring1"",""active"",7]",135.83480841847003,-76.437303963594218
9,257081424862060,"[""ring1"",""active"",8]",124.45001336700963,-69.864289475964824
10,462329393670,"[""ring1"",""active"",9]",112.30466626296774,-64.833521985741896
11,136638878541845,"[""ring1"",""active"",10]",99.606577362620897,-61.431079319475344
12,113440114950139,"[""ring1"",""active"",11]",86.573014487629393,-59.71517821452035
13,189893974123011,"[""ring1"",""active"",12]",73.426985512370607,-59.71517821452035
14,259292959545620,"[""ring1"",""active"",13]",60.393422637379118,-61.431079319475344
15,199461450372935,"[""ring1"",""active"",14]",47.695333737032257,-64.833521985741882
16,53150555964577,"[""ring1"",""active"",15]",35.549986632990382,-69.864289475964824
17,182181300776484,"[""ring1"",""active"",16]",24.165191581529967,-76.437303963594218
18,36828647183504,"[""ring1"",""active"",17]",13.735745582443087,-84.440099348362779
19,245044142097057,"[""ring1"",""active"",18]",4.4400993483627786,-93.735745582443073
20,164989153111639,"[""ring1"",""active"",19]",-3.562696036405768,-104.16519158152994
21,82757952312123,"[""ring1"",""active"",20]",-10.135710524035161,-115.54998663299034
22,264367324792324,"[""ring1"",""active"",21]",-15.166478014258104,-127.69533373703224
23,96077426024455,"[""ring1"",""active"",22]",-18.568920680524656,-140.39342263737913
24,175280640722083,"[""ring1"",""active"",23]",-20.28482178547965,-153.42698551237061
25,271289438101252,"[""ring1"",""active"",24]",-20.28482178547965,-166.57301448762937
26,22151644413009,"[""ring1"",""active"",25]",-18.56892068052467,-179.60657736262084
27,54785332350034,"[""ring1"",""active"",26]",-15.166478014258118,-192.30466626296774
28,37097415433566,"[""ring1"",""active"",27]",-10.135710524035176,-204.45001336700966
29,7974149837147,"[""ring1"",""active"",28]",-3.5626960364058249,-215.83480841847
30,159066063835249,"[""ring1"",""active"",29]",4.4400993483627786,-226.26425441755691
31,227814935923795,"[""ring1"",""active"",30]",13.735745582443059,-235.55990065163724
32,112737315580354,"[""ring1"",""active"",31]",24.165191581529982,-243.56269603640578
33,279057199714791,"[""ring1"",""active"",32]",35.549986632990361,-250.13571052403518
34,104555532071604,"[""ring1"",""active"",33]",47.695333737032236,-255.1664780142581
35,114636202083057,"[""ring1"",""active"",34]",60.393422637379068,-258.56892068052463
36,166816355597687,"[""ring1"",""active"",35]",73.426985512370649,-260.28482178547966
37,196871639851600,"[""ring1"",""active"",36]",86.573014487629308,-260.28482178547966
38,163201643135464,"[""ring1"",""active"",37]",99.606577362620897,-258.56892068052468
39,141087017475327,"[""ring1"",""active"",38]",112.30466626296773,-255.16647801425813
40,274460507970912,"[""ring1"",""active"",39]",124.4500133670096,-250.13571052403518
41,211658257369416,"[""ring1"",""active"",40]",135.83480841846998,-243.56269603640584
42,25256560694987,"[""ring1"",""active"",41]",146.26425441755694,-235.55990065163721
43,111109889874469,"[""ring1"",""active"",42]",155.55990065163724,-226.26425441755691
44,248359595964128,"[""ring1"",""active"",43]",163.56269603640573,-215.83480841847009
45,232550607584963,"[""ring1"",""active"",44]",170.13571052403518,-204.45001336700963
46,8954556596020,"[""ring1"",""active"",45]",175.1664780142581,-192.30466626296777
47,16077873566104,"[""ring1"",""active"",46]",178.56892068052463,-179.60657736262092
48,82931331611565,"[""ring1"",""active"",47]",180.28482178547966,-166.57301448762934
49,118963306441431,"[""ring2"",""active"",0]",193.4230309790297,-153.39386072712907
50,166210091923763,"[""ring2"",""active"",1]",191.8891790604203,-140.27091888232729
51,117307025828046,"[""ring2"",""active"",2]",188.84221793910237,-127.4147790147213
52,31761126237247,"[""ring2"",""active"",3]",184.32335253722908,-114.99929836151969
53,8755066053518,"[""ring2"",""active"",4]",178.39369275731997,-103.192375
54,26147884959761,"[""ring2"",""active"",5]",171.1334270756625,-92.15367731404001
55,113321123638128,"[""ring2"",""active"",6]",162.64073813073233,-82.032484753134355
