export_index,mirror_id,position_key,x,y
1,225977427565346,"[""ring1"",""active"",0]",100.3166431994,-173.93196100910001
2,98461791273696,"[""ring1"",""active"",1]",98.853800648199993,-161.88436869969999
3,146546269447317,"[""ring1"",""active"",2]",95.949447084100001,-150.1009430876
4,91816430395141,"[""ring1"",""active"",3]",91.645934522199994,-138.75351305199999
5,231364419112210,"[""ring1"",""active"",4]",86.006017866299999,-128.00754967509999
6,186914820487113,"[""ring1"",""active"",5]",79.111939801199995,-118.01975330080001
7,218691133102543,"[""ring1"",""active"",6]",71.064231509199999,-108.9357684908
8,249518401681586,"[""ring1"",""active"",7]",61.980246699200002,-100.88806019880001
9,257081424862060,"[""ring1"",""active"",8]",51.992450324899998,-93.993982133700001
10,462329393670,"[""ring1"",""active"",9]",41.246486947999998,-88.354065477800006
11,136638878541845,"[""ring1"",""active"",10]",29.899056912399999,-84.050552915899999
12,113440114950139,"[""ring1"",""active"",11]",18.115631300299999,-81.146199351800007
13,189893974123011,"[""ring1"",""active"",12]",6.0680389908999999,-79.683356800599995
14,259292959545620,"[""ring1"",""active"",13]",-6.0680389908999999,-79.683356800599995
15,199461450372935,"[""ring1"",""active"",14]",-18.115631300299999,-81.146199351800007
16,53150555964577,"[""ring1"",""active"",15]",-29.899056912399999,-84.050552915899999
17,182181300776484,"[""ring1"",""active"",16]",-41.246486947999998,-88.354065477800006
18,36828647183504,"[""ring1"",""active"",17]",-51.992450324899998,-93.993982133700001
19,245044142097057,"[""ring1"",""active"",18]",-61.980246699200002,-100.88806019880001
20,164989153111639,"[""ring1"",""active"",19]",-71.064231509199999,-108.9357684908
21,82757952312123,"[""ring1"",""active"",20]",-79.111939801199995,-118.01975330080001
22,264367324792324,"[""ring1"",""active"",21]",-86.006017866299999,-128.00754967509999
23,96077426024455,"[""ring1"",""active"",22]",-91.645934522199994,-138.75351305199999
24,175280640722083,"[""ring1"",""active"",23]",-95.949447084100001,-150.1009430876
25,271289438101252,"[""ring1"",""active"",24]",-98.853800648199993,-161.88436869969999
26,22151644413009,"[""ring1"",""active"",25]",-100.3166431994,-173.93196100910001
27,54785332350034,"[""ring1"",""active"",26]",-100.3166431994,-186.06803899089999
28,37097415433566,"[""ring1"",""active"",27]",-98.853800648199993,-198.11563130030001
29,7974149837147,"[""ring1"",""active"",28]",-95.949447084100001,-209.8990569124
30,159066063835249,"[""ring1"",""active"",29]",-91.645934522199994,-221.24648694800001
31,227814935923795,"[""ring1"",""active"",30]",-86.006017866299999,-231.99245032490001
32,112737315580354,"[""ring1"",""active"",31]",-79.111939801199995,-241.98024669919999
33,279057199714791,"[""ring1"",""active"",32]",-71.064231509199999,-251.0642315092
34,104555532071604,"[""ring1"",""active"",33]",-61.980246699200002,-259.11193980119998
35,114636202083057,"[""ring1"",""active"",34]",-51.992450324899998,-266.0060178663
36,166816355597687,"[""ring1"",""active"",35]",-41.246486947999998,-271.64593452219998
37,196871639851600,"[""ring1"",""active"",36]",-29.899056912399999,-275.94944708409997
38,163201643135464,"[""ring1"",""active"",37]",-18.115631300299999,-278.85380064819998
39,141087017475327,"[""ring1"",""active"",38]",-6.0680389908999999,-280.3166431994
40,274460507970912,"[""ring1"",""active"",39]",6.0680389908999999,-280.3166431994
41,211658257369416,"[""ring1"",""active"",40]",18.115631300299999,-278.85380064819998
