line_id,order_west_to_east,direction,direction_deg_from_east_ccw,start_x_m,start_y_m,end_x_m,end_y_m,length_inside_m,x_nmi,depth_m,spacing_from_previous_m,width_slope_m,signed_overlap_m,overlap_rate_previous,overlap_rate_current,left_x_m,right_x_m
L01,1,south-to-north,90.0,-3345.4782073578917,-1852.0,-3345.4782073578917,1852.0,3704.0,-1.8064137188757514,197.60442994929787,,686.1679951925131,,,,-3704.0,-3018.0671374420112
L02,2,south-to-north,90.0,-2756.20376372329,-1852.0,-2756.20376372329,1852.0,3704.0,-1.488230973932662,182.1737355855559,589.2744436346015,632.5859544522627,68.68541631877042,0.1000999999999998,0.10857878812412626,-3086.7290169840658,-2454.359833939207
L03,3,south-to-north,90.0,-2212.945058897898,-1852.0,-2212.945058897898,1852.0,3704.0,-1.194894740225647,167.9480057492201,543.2587048253922,583.1880713964354,63.3218540406715,0.1001,0.10857878812412647,-2517.6599891619976,-1934.6717617521829
L04,4,south-to-north,90.0,-1712.10877869504,-1852.0,-1712.10877869504,1852.0,3704.0,-0.9244647833126566,154.83314619682474,500.836280202858,537.6476101395318,58.37712594678305,0.10009999999999979,0.10857878812412625,-1993.0288833159052,-1455.5655115843197
L05,5,south-to-north,90.0,-1250.3822065491656,-1852.0,-1250.3822065491656,1852.0,3704.0,-0.6751523793462018,142.74241039220334,461.72657214587434,495.6633492118385,53.818525774967156,0.10010000000000004,0.10857878812412654,-1509.3655950946513,-1013.8720973331192
L06,6,south-to-north,90.0,-824.7113119821255,-1852.0,-824.7113119821255,1852.0,3704.0,-0.44530848379164445,131.5958257327852,425.67089456704014,456.95758916911564,49.615901256105076,0.10010000000000008,0.10857878812412657,-1063.4709964590486,-606.6699952429708
L07,7,south-to-north,90.0,-432.2805501149948,-1852.0,-432.2805501149948,1852.0,3704.0,-0.2334128240361743,121.31966458119624,392.4307618671307,421.2743157856687,45.741454675828436,0.10009999999999991,0.10857878812412639,-652.3957754647001,-231.26581986549027
L08,8,south-to-north,90.0,-70.49423861193662,-1852.0,-70.49423861193662,1852.0,3704.0,-0.03806384374294634,111.84595660337172,361.7863115030582,388.37750668148465,42.169559010145434,0.1001,0.10857878812412647,-273.42092842097117,114.82349098891841
L09,9,south-to-north,90.0,263.04061112368225,-1852.0,263.04061112368225,1852.0,3704.0,0.14203056756138352,103.11203918760425,333.5348497356189,358.04957018283517,38.87658841881658,0.10009999999999991,0.10857878812412639,75.9602246059885,433.88710014360953
L10,10,south-to-north,90.0,570.5301220617474,-1852.0,570.5301220617474,1852.0,3704.0,0.3080616209836649,95.06014297083243,307.48951093806517,330.08990609039495,35.84076197530169,0.10009999999999969,0.10857878812412615,398.0586199022938,728.0354124260509
L11,11,south-to-north,90.0,854.0081436594207,-1852.0,854.0081436594207,1852.0,3704.0,0.4611275073754972,87.63700973068748,283.4780215976733,304.31357883526164,33.041999599648534,0.1001,0.10857878812412648,695.0047354944228,999.2140336666189
L12,12,south-to-north,90.0,1115.3497044943758,-1852.0,1115.3497044943758,1852.0,3704.0,0.602240661174069,80.79354011589446,261.3415608349551,280.55009424664047,30.461789241409747,0.10010000000000019,0.10857878812412668,968.762682919582,1249.216639655819
L13,13,south-to-north,90.0,1356.2834143979412,-1852.0,1356.2834143979412,1852.0,3704.0,0.7323344570183268,74.48446888498646,240.9337099035654,258.6422718402821,28.083064434088783,0.10010000000000026,0.10857878812412675,1221.1431985865217,1479.696840179979
L14,14,south-to-north,90.0,1578.4028981204524,-1852.0,1578.4028981204524,1852.0,3704.0,0.8522693834343695,68.66806550524049,222.11948372251118,238.44520516857196,25.890091411212552,0.10010000000000122,0.10857878812412777,1453.8156206564736,1692.1791166085363
L15,15,south-to-north,90.0,1783.1773361553055,-1852.0,1783.1773361553055,1852.0,3704.0,0.9628387344251109,63.30585813148549,204.77443803485312,219.82530335564172,23.868365037374133,0.10010000000000034,0.10857878812412684,1668.3189306637348,1888.068905378176
L16,16,south-to-north,90.0,1971.9611824426274,-1852.0,1971.9611824426274,1852.0,3704.0,1.06477385661049,58.36237913907624,188.78384628732192,202.6594074778615,22.00451286589987,0.1001000000000006,0.10857878812412713,1866.07193290926,2068.661894069711
L17,17,south-to-north,90.0,2146.0031232290517,-1852.0,2146.0031232290517,1852.0,3704.0,1.158748986624758,53.80493052789386,174.04194078642422,186.83397594512562,20.286206688534094,0.10010000000000079,0.10857878812412732,2048.3826389575493,2235.152591565401
L18,18,south-to-north,90.0,2306.454336340814,-1852.0,2306.454336340814,1852.0,3704.0,1.2453857107671782,49.60336764566836,160.45121311176217,172.24433349474293,18.702080992106858,0.10009999999999884,0.10857878812412522,2216.4569193093557,2388.642228972908
L19,19,south-to-north,90.0,2454.3761055000564,-1852.0,2454.3761055000564,1852.0,3704.0,1.3252570764039182,45.72989980008906,147.92176915924256,158.79397883049893,17.241657782824404,0.1001000000000037,0.10857878812413048,2371.406479475586,2530.1460435755075
L20,20,south-to-north,90.0,2590.7468400482535,-1852.0,2590.7468400482535,1852.0,3704.0,1.3988913823154716,42.15890644087756,136.3707345481971,146.39394632735798,15.895277280932987,0.10010000000000029,0.10857878812412676,2514.256213209105,2660.5999939873273
L21,21,south-to-north,90.0,2716.468546507798,-1852.0,2716.468546507798,1852.0,3704.0,1.466775673060366,38.86676769598358,125.7217064595443,134.9622175798845,14.654034027369107,0.10010000000000392,0.1085787881241307,2645.9509815314264,2780.866950930103
L22,22,south-to-north,90.0,2832.3727947870625,-1852.0,2832.3727947870625,1852.0,3704.0,1.5293589604681763,35.831708141007184,115.90424827926472,124.42317890214642,13.50971797974671,0.100100000000002,0.10857878812412866,2767.3618623932953,2891.74240457957
L23,23,south-to-north,90.0,2939.2262184916176,-1852.0,2939.2262184916176,1852.0,3704.0,1.587055193569988,33.03365276848061,106.8534237045551,114.70712119080451,12.4547602081052,0.10010000000000276,0.10857878812412942,2879.2919123067236,2993.9597262319703
L24,24,south-to-north,90.0,3037.7355857227044,-1852.0,3037.7355857227044,1852.0,3704.0,1.6402459966105316,30.45409420433714,98.5093672310868,105.74977884329661,11.48218283119968,0.10010000000000129,0.10857878812412784,2982.481478058053,3088.1950190933
L25,25,south-to-north,90.0,3128.5524739031016,-1852.0,3128.5524739031016,1852.0,3704.0,1.6892831932522148,28.07597029328764,90.8168881803972,97.49190468135143,10.585552862214172,0.10010000000000172,0.10857878812412833,3077.6130936356712,3175.071590276203
L26,26,south-to-north,90.0,3212.27757955141,-1852.0,3212.27757955141,1852.0,3704.0,1.7344911336670679,25.883551243409144,83.72510564830827,89.87887806821833,9.75893965860314,0.10009999999999858,0.10857878812412497,3165.3159947624863,3255.164073583965
L27,27,south-to-north,90.0,3289.464691511203,-1852.0,3289.464691511203,1852.0,3704.0,1.7761688399088569,23.862335583477957,77.18711195979313,82.8603436275555,8.99687569462867,0.10010000000000017,0.10857878812412658,3246.1702808939353,3329.0022303512123
L28,28,south-to-north,90.0,3360.624353915452,-1852.0,3360.624353915452,1852.0,3704.0,1.8145919837556437,21.998954244870475,71.15966240424905,76.38987817432904,8.294320397118554,0.100100000000003,0.10857878812412972,3320.710752210539,3397.0744534814976
L29,29,south-to-north,90.0,3426.22724311442,-1852.0,3426.22724311442,1852.0,3704.0,1.8500147101049784,20.281082133594225,65.60288919896811,70.42468365468187,7.646626805250435,0.10010000000000129,0.10857878812412788,3389.4304469842746,3459.8309978587636
L30,30,south-to-north,90.0,3486.707280903289,-1852.0,3486.707280903289,1852.0,3704.0,1.8826713179823373,18.69735660755346,60.480037788868685,64.92530406376162,7.049510833833665,0.10010000000000013,0.10857878812412655,3452.783902716227,3517.6869584998312
L31,31,south-to-north,90.0,3542.464504641546,-1852.0,3542.464504641546,1852.0,3704.0,1.9127778102816122,17.237302319827847,55.757223738256926,59.85536446909781,6.499022936783149,0.10010000000000942,0.10857878812413667,3511.190162615892,3571.0250161465074
L32,32,south-to-north,90.0,3593.8677132481757,-1852.0,3593.8677132481757,1852.0,3704.0,1.9405333224882158,15.891261930850078,51.40320860662996,55.181330413332915,5.991521983356506,0.10009999999999691,0.10857878812412312,3565.035547308093,3620.1979684576777
L33,33,south-to-north,90.0,3641.256906574237,-1852.0,3641.256906574237,1852.0,3704.0,1.9661214398349012,14.650332231186809,47.389193326061104,50.87228610490688,5.523651174375118,0.10010000000000893,0.10857878812413613,3614.676210100604,3665.5310635436267
