export_index,mirror_id,position_key,x,y
1,177487332782245,"[""hex-band"",9,0,0]",93.9204550404,54.225000000000001
2,160631743572961,"[""hex-band"",9,0,1]",83.484848924800005,60.25
3,84677333822882,"[""hex-band"",9,0,8]",10.435606115600001,102.425
4,156911796746208,"[""hex-band"",9,1,0]",0,108.45
5,111922761296289,"[""hex-band"",9,1,1]",-10.435606115600001,102.425
6,18936301935277,"[""hex-band"",9,1,8]",-83.484848924800005,60.25
7,92738156363829,"[""hex-band"",9,2,0]",-93.9204550404,54.225000000000001
8,194688034929040,"[""hex-band"",9,2,1]",-93.9204550404,42.174999999999997
9,54310679910802,"[""hex-band"",9,2,8]",-93.9204550404,-42.174999999999997
10,148283304611617,"[""hex-band"",9,3,0]",-93.9204550404,-54.225000000000001
11,52667805505130,"[""hex-band"",9,3,1]",-83.484848924800005,-60.25
12,86329947285545,"[""hex-band"",9,3,8]",-10.435606115600001,-102.425
13,268463475939608,"[""hex-band"",9,4,0]",-0,-108.45
14,254933039571691,"[""hex-band"",9,4,1]",10.435606115600001,-102.425
15,70625719498573,"[""hex-band"",9,4,8]",83.484848924800005,-60.25
16,21258706387315,"[""hex-band"",9,5,0]",93.9204550404,-54.225000000000001
17,153421783379670,"[""hex-band"",9,5,1]",93.9204550404,-42.174999999999997
18,105380748889316,"[""hex-band"",9,5,8]",93.9204550404,42.174999999999997
19,89904618064464,"[""hex-band"",10,0,0]",104.356061156,60.25
20,278346033341436,"[""hex-band"",10,0,1]",93.9204550404,66.275000000000006
21,177323706621083,"[""hex-band"",10,0,2]",83.484848924800005,72.299999999999997
22,265447557460768,"[""hex-band"",10,0,3]",73.049242809199995,78.325000000000003
23,269648492074404,"[""hex-band"",10,0,4]",62.6136366936,84.349999999999994
24,180293435491565,"[""hex-band"",10,0,5]",52.178030577999998,90.375
25,71919375184712,"[""hex-band"",10,0,6]",41.742424462400002,96.400000000000006
26,72866860789760,"[""hex-band"",10,0,7]",31.3068183468,102.425
27,275563573785371,"[""hex-band"",10,0,8]",20.871212231200001,108.45
28,224071872910899,"[""hex-band"",10,0,9]",10.435606115600001,114.47499999999999
29,255117604682208,"[""hex-band"",10,1,0]",0,120.5
30,105245893851088,"[""hex-band"",10,1,1]",-10.435606115600001,114.47499999999999
31,195452634905345,"[""hex-band"",10,1,2]",-20.871212231200001,108.45
32,104452391996274,"[""hex-band"",10,1,3]",-31.3068183468,102.425
33,4933255546843,"[""hex-band"",10,1,4]",-41.742424462400002,96.400000000000006
34,212254849194912,"[""hex-band"",10,1,5]",-52.178030577999998,90.375
