日期,平均光学效率,平均余弦效率,平均阴影遮挡效率,平均截断效率,单位面积镜面平均输出热功率 (kW/m²)
1月21日,0.4321337562632624,0.7283926847532809,0.7499253826819956,0.9385309192637046,0.3772955777025586
2月21日,0.4558464034127082,0.7463871315855733,0.7690770661299495,0.9301420488904192,0.4303401989634432
3月21日,0.47709670854844877,0.7641580795456704,0.7843476643509426,0.9215116116231403,0.4746589276504758
4月21日,0.4911647100209189,0.7791775941200451,0.7887896557289029,0.9168686312620107,0.5054737023761671
5月21日,0.49849175018839065,0.7868878279149666,0.7890138432649811,0.9163432646900596,0.5208567843259463
6月21日,0.500860378393029,0.789079587133786,0.7892131591360324,0.9163914706843673,0.5255512058246039
7月21日,0.498343646462037,0.7868102331827914,0.7890899002080561,0.9161571572929692,0.520621394863851
8月21日,0.49057852885644726,0.7786149556695039,0.7886459697392187,0.9169191501238286,0.504294721222469
9月21日,0.4759921892262694,0.7632717851867917,0.7834566156992896,0.9220533326640321,0.472501606816574
10月21日,0.45297104438348984,0.744118670162784,0.7670367879032723,0.930993542714823,0.4241705776159378
11月21日,0.4298146990763338,0.7268527715389881,0.7477028254089043,0.9394938361895864,0.3720876075361483
12月21日,0.4180873364609695,0.7205407244421705,0.7338212845770313,0.944778325930109,0.3482027646577497
