node_id,x_adjusted_m,y_adjusted_m,z_adjusted_m,target_radial_displacement_m,actual_radial_displacement_m,actuator_extension_m
A0,0.0,0.0,-300.4104670509303,0.010467050930344612,0.010467050930344612,-0.010467050930344612
B1,6.106122504951769,8.404691034272492,-300.1377451228136,-0.08250425494594538,-0.08250425494594538,0.08250425500374714
C1,9.881032365771482,-3.210458166947517,-300.1695400101579,-0.05069032607684676,-0.05069032607684676,0.05069032630710302
D1,0.0,-10.393202277802896,-300.28382893681464,0.06366703721459999,0.06366703721459999,-0.06366703732335921
E1,-9.886058637941815,-3.2120912591125066,-300.32222990626235,0.10209100385043257,0.10209100385043257,-0.10209100400169158
A1,-6.107821527080938,8.407029630663978,-300.2212581329684,0.001058766626954366,0.001058766626954366,-0.0010587666265289286
A3,0.0,16.812718500784925,-299.8347107830938,-0.0943371762104448,-0.0943371762104448,0.09433717553312926
B2,12.201589987659009,16.794626499182694,-299.5139337874446,-0.16756724442973336,-0.16756724442973336,0.16756724508656262
B3,15.986974762663122,5.19465230155683,-299.7934097918815,-0.13570302958498814,-0.13570302958498814,0.13570302939812517
C2,19.745921112247643,-6.415505107848968,-299.56460389152346,-0.11677556719683935,-0.11677556719683935,0.11677556715058612
C3,9.884726704430314,-13.604623855718202,-299.9206077147607,-0.008305309716035936,-0.008305309716035936,0.008305309709355058
D2,0.0,-20.777080082552143,-299.78325536482026,0.10240042055824006,0.10240042055824006,-0.10240042052731191
D3,-9.890161954366741,-13.612104541139052,-300.08552309510037,0.15686909892167478,0.15686909892167478,-0.15686909870482912
E2,-19.765809083850737,-6.421966765559394,-299.8663235379061,0.18566786461832407,0.18566786461832407,-0.1856678645499512
E3,-15.998751855365054,5.198479035671193,-300.0142580030636,0.085492079286837,0.085492079286837,-0.08549207970844241
A2,-12.207435711709154,16.802672725300663,-299.65742949643544,-0.023727289121097783,-0.023727289121097783,0.02372728913634159
A5,-6.105496864653396,25.226070969792087,-299.1581507746235,-0.1181915427478657,-0.1181915427478657,0.11819154237700724
A6,6.104248395328391,25.22091267121388,-299.096978067005,-0.1795940416974986,-0.1795940416974986,0.17959404146547264
B4,18.281686695518562,25.162639236984056,-298.577298964876,-0.23539416935290092,-0.20711571165557127,0.2071157110044055
