time_s,handle_index,x_m,y_m,speed_mps
-100,0,7.778033587220898,3.7171641615100772,1.0
-100,1,6.209272663684399,6.10852134202178,0.9999039677563818
-100,2,4.9796388752352305,7.208748930434308,0.9998864129700916
-100,3,3.565452603440966,8.058794334320883,0.9998692644468772
-100,4,2.01754224792765,8.630172957734967,0.9998525082406349
-100,5,0.39052060932557053,8.904582482935387,0.9998361310365064
-100,6,-1.2592004786563922,8.87424551098036,0.9998201201155559
-100,7,-2.8753792132000258,8.541880804657765,0.9998044633217957
-100,8,-4.4038311504916265,7.9203225407842845,0.9997891490313736
-100,9,-5.794176013633778,7.0318175258664,0.9997741661237666
-100,10,-7.001393311799088,5.907039149913776,0.999759503954824
-100,11,-7.987145304202723,4.583863798922061,0.9997451523315243
-100,12,-8.720835748345483,3.1059604420772358,0.9997311014883227
-100,13,-9.180383110590116,1.521247148811206,0.9997173420649689
-100,14,-9.352697139623103,-0.11973057053734537,0.9997038650856951
-100,15,-9.233857591744036,-1.7654453580567175,0.9996906619396713
-100,16,-8.829003170979588,-3.3650055782383643,0.9996777243626412
-100,17,-8.1519471692192,-4.869696633066686,0.9996650444196584
-100,18,-7.2245436702631896,-6.23440273700409,0.9996526144888405
-100,19,-6.0758343725498705,-7.418871794998766,0.9996404272460794
-100,20,-4.74101099131141,-8.388792689143848,0.9996284756506381
-100,21,-3.2602317706831556,-9.116661427142482,0.9996167529315743
-100,22,-1.677332861646969,-9.582419995256783,0.9996052525749382
-100,23,-0.038476233873768764,-9.773859159494515,0.999593968311693
-100,24,1.6092245451562042,-9.686783659012436,0.9995828941063097
-100,25,3.2190608155639757,-9.32494504515325,0.9995720241459924
-100,26,4.746030281378307,-8.699753674075229,0.9995613528304995
-100,27,6.148049487689299,-7.829786924633029,0.9995508747625113
-100,28,7.387047527148065,-6.740115479555564,0.9995405847385219
-100,29,8.429915895424765,-5.46147340045463,0.9995304777402142
-100,30,9.249294533273996,-4.029300698635445,0.9995205489262958
-100,31,9.824179453659164,-2.4826891351477975,0.9995107936247571
-100,32,10.140342797509764,-0.8632630824966233,0.9995012073255373
-100,33,10.190561542108831,0.7859725215608695,0.9994917856735664
